I_D,YEAR,EQ_PRIMARY,COUNTRY,LOCATION_NAME,LATITUDE,LONGITUDE,TOTAL_DEATHS,TOTAL_INJURIES,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DAMAGED
10170,2016,6.7,INDIA,INDIA:  IMPAHL,24.804,93.651,13,100,,
10171,2016,5.6,INDONESIA,"INDONESIA: MALUKU:  BURU, AMBALAU ISLAND",-3.873,127.229,1,22,,230
10172,2016,7.1,USA,ALASKA:  KENAI,59.658,-153.452,0,,4,
10173,2016,6.3,MOROCCO,MOROCCO:  MELILLA,35.649,-3.682,1,26,,
10174,2016,6.4,TAIWAN,TAIWAN:  TAINAN,22.97,120.46,117,525,,
10175,2016,7.8,INDONESIA,INDONESIA: SUMATRA:,-4.952,94.33,0,,,
10186,2016,6.6,AFGHANISTAN,AFGHANISTAN:  KHYBER PAKHTUNKHWA,36.473,71.131,6,5,,20
10363,2016,6.9,MYANMAR (BURMA),INDIA: ASSAM; BANGLADESH,23.094,94.865,2,170,,4
10177,2016,7,JAPAN,"JAPAN:  KUMAMOTO, OITA",32.791,130.754,50,1500,80000,
10176,2016,7.8,ECUADOR,"ECUADOR:  NEAR WEST COAST: MANABI, ESMERALDAS",0.35,-80.16,663,6274,6998,29672
10179,2016,7,VANUATU,VANUATU ISLANDS,-16.043,167.379,0,,,
10178,2016,5.2,CHINA,CHINA:  TIBET (XIZANG PROVINCE),32.022,95.027,0,60,,
10181,2016,6.9,ECUADOR,ECUADOR:  MANABI PROVINCE,0.495,-79.616,1,162,,32
10364,2016,5.4,ALGERIA,ALGERIA:  MEDEA:  MIHOUB,36.431,3.517,0,28,,
10365,2016,6.6,INDONESIA,INDONESIA:  SUMATRA:  PESISIR SELATAN,-2.097,100.665,1,30,,2663
10185,2016,6.3,INDONESIA,INDONESIA:  MALUKU:  TERNATE ISLAND,1.279,126.371,0,,,
10187,2016,5,TAJIKISTAN,TAJIKISTAN:  RASHT,38.881,70.559,0,,31,
10188,2016,7.7,USA TERRITORY,NORTHERN MARIANA ISLANDS,18.543,145.507,0,,,
10366,2016,4.9,CHINA,CHINA:  GUANGXI PROVINCE,24.134,111.478,0,,,200
