COUNTRY,LATITUDE,LONGITUDE,TOTAL_DEATHS,TOTAL_INJURIES,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DAMAGED
USA TERRITORY,19.043,-66.81,,,,
NEW ZEALAND,-40.66,175.814,,,,
INDONESIA,-7.986,109.265,,,1,
GREECE,38.208,20.453,,6,,
IRAN,26.589,57.741,,,,
GREECE,38.244,20.379,,16,,
USA,35.937,-97.271,,,,
CHINA,35.905,82.586,,,67,1001
AUSTRALIA,-30.686,121.332,,,,
JAPAN,33.684,131.825,,18,,
CHILE,-19.965,-70.814,,,,
USA,33.863,-117.835,,,,20
CHILE,-19.61,-70.769,7,,,2600
CHILE,-20.571,-70.493,,,,
CHINA,28.174,103.619,,21,75,2700
NICARAGUA,12.403,-86.378,2,250,168,2210
PAPUA NEW GUINEA,-6.586,155.049,1,,51,
SOLOMON ISLANDS,-11.27,162.148,,,,
SOLOMON ISLANDS,-11.463,162.051,,,,
NICARAGUA,12.151,-86.281,,,7,
MEXICO,17.397,-100.972,,,,127
PAPUA NEW GUINEA,-6.755,155.024,,,,
THAILAND,19.656,99.67,1,32,20,
MEXICO,17.235,-100.746,,,,
PAKISTAN,26.387,68.358,2,70,,
GERMANY,49.799,8.69,,,,70
ALBANIA,41.115,19.777,,,,
GREECE,40.24,25.33,3,266,,
CHINA,25,97.845,,45,3390,18000
NEW ZEALAND,-29.977,-177.725,,,,
USA,51.849,178.735,,,,
MEXICO,14.728,-92.578,3,33,,50
JAPAN,37.005,142.453,,3,,
USA,35.524,-97.146,,,,
USA,58.306,-136.96,,,,
MEXICO,17.682,-95.653,1,1,,
ALGERIA,36.841,3.301,6,420,,
CHINA,27.189,103.409,615,3143,25800,160400
SOUTH AFRICA,-26.99,26.705,1,17,13,1433
ECUADOR,-0.018,-78.322,2,8,,89
CHINA,28.125,103.546,,6,,337
IRAN,32.663,47.673,,330,2700,17000
USA,38.216,-122.312,1,257,160,1034
PHILIPPINES,6.864,125.233,,1,15,67
PERU,-13.843,-71.695,8,6,106,
CHINA,23.383,100.47,1,323,,
CHILE,-32.108,-110.811,,,,
EL SALVADOR,12.526,-88.123,1,,5,41
INDONESIA,1.893,126.522,,,,
CHINA,30.34,101.737,5,65,30,27400
JAPAN,36.641,137.888,,45,50,
CHINA,23.358,100.533,1,15,434,17000
ALGERIA,36.492,3.025,,,,
CHINA,29.353,103.199,,11,,2000
JAPAN,39.856,142.881,,,,
VANUATU,-16.431,168.148,,,,
CHINA,23.01,101.755,,,,276
BOSNIA-HERZEGOVINA,44.534,18.934,4,1,,
CHINA,44.133,85.568,,,,1728
PAKISTAN,34.671,73.278,,5,,2
PERU,-15.693,-71.934,,,64,500
CHINA,23.5,98.9,,39,220,15800
SERBIA,44.088,19.861,,,,100
COLOMBIA,6.8,-73.01,,,180,2167
CHINA,33.15,115.8,2,13,155,11079
PAPUA NEW GUINEA,-4.729,152.562,,,,
TAIWAN,24.203,122.316,1,1,,19
NEPAL,28.231,84.731,8200,17866,299588,269107
JAPAN,31.529,140.213,,,,
PAPUA NEW GUINEA,-5.462,151.875,,,,
NEPAL,27.809,86.066,117,2800,,
JAPAN,27.839,140.493,,12,,
MALAYSIA,5.987,116.541,18,,,23
INDIA,26.638,90.41,,2,,
CHINA,37.6,78.2,3,263,3000,
PHILIPPINES,10.169,125.891,1,,,
SOLOMON ISLANDS,-9.307,158.403,,,,
SOLOMON ISLANDS,-10.401,165.141,,,,
PAKISTAN,33.856,73.193,3,1,3,
USA,52.214,-169.399,,,,
INDONESIA,-2.629,138.528,1,,1,6
PANAMA,8.231,-77.315,,6,,45
RWANDA,-2.141,28.897,3,30,,
EL SALVADOR,13.668,-88.478,,4,,92
CHILE,-31.573,-71.674,15,14,2305,10044
INDONESIA,-0.59,131.27,,62,,260
ARGENTINA,-25.442,-64.632,2,30,15,
AFGHANISTAN,36.524,70.368,399,1770,29230,79893
INDONESIA,-8.338,124.875,,,,1468
VENEZUELA,8.477,-71.365,1,,33,83
CHILE,-29.439,-72.105,,,,
JAPAN,31.001,128.873,,,,
GREECE,38.67,20.6,2,4,1,
KYRGYZSTAN,40.376,73.204,,,200,800
VENEZUELA,8.48,-71.42,1,3,,6
PERU,-10.77,-71.41,,,,
PERU,-10.07,-70.98,,,,
TAJIKISTAN,38.211,72.78,2,,500,
MEXICO,15.802,-93.633,2,,,
AFGHANISTAN,36.494,71.126,4,97,,
INDIA,24.804,93.651,13,100,,
INDONESIA,-3.873,127.229,1,22,,230
USA,59.658,-153.452,,,4,
MOROCCO,35.649,-3.682,1,26,,
TAIWAN,22.97,120.46,117,525,,
INDONESIA,-4.952,94.33,,,,
AFGHANISTAN,36.473,71.131,6,5,,20
MYANMAR (BURMA),23.094,94.865,2,170,,4
JAPAN,32.791,130.754,50,1500,80000,
ECUADOR,0.35,-80.16,663,6274,6998,29672
VANUATU,-16.043,167.379,,,,
CHINA,32.022,95.027,,60,,
ECUADOR,0.495,-79.616,1,162,,32
ALGERIA,36.431,3.517,,28,,
INDONESIA,-2.097,100.665,1,30,,2663
INDONESIA,1.279,126.371,,,,
TAJIKISTAN,38.881,70.559,,,31,
USA TERRITORY,18.543,145.507,,,,
CHINA,24.134,111.478,,,,200
INDONESIA,-8.194,117.814,,4,,700
NEW CALEDONIA,-22.477,173.117,,,,
PERU,-15.64,-71.68,9,68,605,671
SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,-55.285,-31.877,,,,
ITALY,42.704,13.238,299,368,,
MYANMAR (BURMA),20.923,94.569,4,20,,230
NEW ZEALAND,-37.359,179.146,,,,
TANZANIA,-1.036,31.618,23,252,1172,6281
MACEDONIA,42.008,21.488,,30,,
SOUTH KOREA,35.781,129.216,1,14,,106
RWANDA,-2.65,29.06,8,,22,
NICARAGUA,12.442,-86.515,1,5,6,487
PAKISTAN,34.905,73.682,1,,,
JAPAN,35.374,133.809,,7,2,160
ITALY,42.956,13.067,1,,,1001
ITALY,42.84,13.11,2,20,,
USA,35.988,-96.805,,,,50
NEW ZEALAND,-42.737,173.054,2,,1,
JAPAN,37.393,141.387,,15,,
NICARAGUA,11.96,-88.835,,,,
CHINA,39.273,73.978,1,,,
NEPAL,27.802,86.532,1,1,2,
POLAND,51.613,16.157,8,9,,
COSTA RICA,9.949,-83.807,,,,60
PERU,-15.44,-70.93,1,17,8,40
INDONESIA,5.283,96.168,104,857,245,18752
CHINA,43.823,86.345,1,,,
SOLOMON ISLANDS,-10.681,161.327,1,,191,126
SOLOMON ISLANDS,-10.749,161.132,,,,
PAPUA NEW GUINEA,-4.505,153.522,,,,
ECUADOR,0.93,-79.84,3,47,10,70
CHILE,-43.517,-74.391,,,,
INDIA,24.015,92.018,3,,,
FIJI,-19.373,176.052,,,,
IRAN,28.2,53.107,4,4,,
MADAGASCAR,-20.16,46.647,2,,,
ITALY,42.529,13.282,34,,,
PAPUA NEW GUINEA,-6.246,155.172,3,,,
TURKEY,39.599,26.065,,5,,90
COLOMBIA,3.449,-74.672,,,,378
PAKISTAN,25.191,63.264,,,20,
PHILIPPINES,9.907,125.452,8,202,215,3042
ZAMBIA,-8.44,30.031,,5,,
PHILIPPINES,9.831,125.496,1,45,13,
MYANMAR (BURMA),17.415,95.999,2,36,,
IRAN,35.8,60.436,2,11,,
PHILIPPINES,13.725,120.929,,6,506,2108
EL SALVADOR,13.753,-89.16,1,3,,
CHILE,-33.073,-72.051,,,,
PHILIPPINES,5.516,125.093,,2,1,
USA,59.844,-136.695,,,,
CHINA,37.659,75.253,8,23,1500,
IRAN,37.777,57.195,2,400,,
TANZANIA,-3.054,32.893,1,18,,
TURKEY,38.765,27.775,,,,35
INDONESIA,-1.289,120.453,,25,5,348
GREECE,38.932,26.364,1,15,10,250
GUATEMALA,14.982,-91.988,5,30,,
NEPAL,27.64,85.17,1,1,,
GUATEMALA,13.753,-90.949,,4,,53
MOZAMBIQUE,-19.444,34.509,,4,2,2
PHILIPPINES,11.114,124.633,3,448,,
RUSSIA,54.472,168.815,,,,
PERU,-16.416,-73.636,1,1,,
TURKEY,36.949,27.458,2,500,,
CHILE,-33.212,-70.626,1,,,
CHINA,33.193,103.855,25,525,100,72500
CHINA,44.323,82.837,,32,,
PERU,-16.299,-73.474,1,,,
ITALY,40.78,13.945,2,42,,
PHILIPPINES,11.014,124.736,2,,,56
MEXICO,15.022,-93.899,98,,5000,53152
MEXICO,18.584,-98.399,369,,226,27792
MEXICO,16.737,-94.946,5,2,11,
PHILIPPINES,7.629,124.874,,,,1759
NEW CALEDONIA,-21.66,169.203,,,,
INDONESIA,-3.745,127.752,1,,,14
NEW CALEDONIA,-21.63,168.884,,,,
IRAN,34.886,45.941,630,12900,15500,14500
COSTA RICA,9.526,-84.505,2,,,
SOUTH KOREA,36.065,129.27,,90,,2000
INDONESIA,2.382,128.144,1,,,294
NEW CALEDONIA,-21.334,168.683,,,,
CHINA,29.362,108.104,,8,1,30
IRAN,30.765,57.331,,51,,
INDONESIA,-7.734,108.023,4,36,,4825
IRAN,35.654,50.949,2,115,,
IRAN,35.692,50.9,1,57,,
MONTENEGRO,42.658,19.883,,,,
IRAN,34.649,45.799,,51,,
NETHERLANDS,53.2,6.6,,,,
HONDURAS,17.474,-83.519,,,,7
IRAN,33.764,45.749,,13,,
PERU,-15.776,-74.744,2,139,259,1577
INDONESIA,-7.196,105.918,1,11,,2760
USA,56.046,-149.073,,,,
AFGHANISTAN,36.543,70.816,2,15,,
ECUADOR,-1.756,-77.694,1,,,
TAIWAN,24.174,121.653,17,291,4,
MEXICO,16.646,-97.653,13,,,1000
PAPUA NEW GUINEA,-6.068,142.768,145,300,,
PAPUA NEW GUINEA,-6.182,142.492,1,,,
PAPUA NEW GUINEA,-6.307,142.62,11,,,
PAPUA NEW GUINEA,-6.294,142.607,25,,1,
IRAN,34.456,45.764,,54,,
VENEZUELA,8.346,-71.664,,,,28
PAPUA NEW GUINEA,-5.841,142.49,4,,,
JAPAN,35.262,132.541,,8,,429
ITALY,43.093,13.046,,,,
INDONESIA,-7.21,109.65,3,21,,316
TURKEY,37.596,38.514,,39,,
IRAN,30.715,51.485,,133,,
SOUTH AFRICA,-26.4,27.5,7,6,,
USA,19.37,-155.032,,1,716,
POLAND,50.11,18.71,5,2,,
EL SALVADOR,13.095,-88.099,,1,11,298
AFGHANISTAN,36.99,71.369,,13,,45
COMOROS,-12.778,45.593,,3,,
CHINA,45.279,124.557,,,,10000
AZERBAIJAN,41.526,46.785,1,31,,
COLOMBIA,1.032,-77.259,2,,1,
JAPAN,34.833,135.612,5,380,,470
INDONESIA,-0.965,100.771,1,2,2,10
IRAN,34.645,46.179,,287,,951
INDONESIA,-8.274,116.491,17,355,5448,
INDONESIA,-8.287,116.452,560,7733,,83392
INDONESIA,-8.394,116.208,2,24,,
CHINA,24.322,102.941,,24,,6000
FIJI,-18.178,-178.111,,,,
INDONESIA,-8.325,116.577,2,1,,1705
INDONESIA,-8.324,116.626,10,24,,151
VENEZUELA,10.855,-62.883,5,,,
IRAN,34.663,46.277,2,267,,2600
NEW CALEDONIA,-22.066,170.05,,,,
JAPAN,42.671,141.933,44,660,,
FIJI,-18.494,179.332,,,,
IRAN,28.342,59.315,1,2,,
CHINA,23.332,101.552,,28,,29000
INDIA,26.374,90.165,1,,,
INDONESIA,-0.178,119.84,2256,4612,5864,69483
HAITI,20.041,-72.975,18,580,,11497
INDONESIA,-7.456,114.453,4,36,,433
GREECE,37.506,20.563,,3,,
INDONESIA,-2.916,119.435,7,,,
IRAN,34.304,45.74,1,759,,
AFGHANISTAN,35.817,68.682,,9,,60
USA,61.34,-149.937,,117,2,1650
NEW CALEDONIA,-21.969,169.446,,,,
VANUATU,-16.368,168.213,,,,
CHINA,28.264,104.991,,17,15,6145
